t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
4.129609,-2.249084,-2.024242,-1.86761,-2.098882,-2.456468,-1.297734,-2.227142,-0.7414232,-1.100464,-1.660116,-3.18129,-1.752385,-3.157487,-2.443044,-2.129154,-2.842971,-1.572631,-1.085567,-4.226123,-2.086485,0.5757087,0.154719,1.250676,0.9326604,0.3440121,1.065867,0.4128991,0.4739988,0.6375136,0.439598,0.8787787,0.8734174,0.4745564,0.4124683,0.6367415,1.02996,0.5153432,0.8140203,0.8127924,1.534771
4.257608,-2.322049,-2.092557,-1.971347,-2.181603,-2.558262,-1.414016,-2.355588,-0.8014337,-1.201849,-1.716013,-3.316464,-1.859193,-3.34605,-2.578205,-2.199413,-3.096106,-1.627896,-1.175464,-4.338327,-2.155972,0.5774136,0.1515768,1.25648,0.932356,0.3341916,1.063619,0.4107086,0.4845785,0.6489648,0.4331104,0.8842617,0.8772982,0.4752599,0.4086903,0.6217499,1.035931,0.5136675,0.8305197,0.8200512,1.527472
4.385608,-2.364686,-2.128916,-1.96952,-2.143592,-2.415169,-1.265212,-2.14136,-0.7553324,-1.059473,-1.67964,-3.078889,-1.686764,-2.928504,-2.206404,-1.946095,-2.360242,-1.519385,-1.009481,-3.74758,-1.894583,0.5653861,0.1539914,1.236949,0.9391566,0.3460969,1.068975,0.4228968,0.4857745,0.6425273,0.4358656,0.8867095,0.8868162,0.4864007,0.4401225,0.6165437,1.038353,0.5163392,0.8084575,0.8183144,1.520699
4.513607,-2.111421,-2.004652,-1.716463,-1.925665,-2.151762,-1.012273,-1.776819,-0.6191688,-0.8480586,-1.563685,-2.813222,-1.42535,-2.608185,-1.933091,-1.739358,-1.893892,-1.41771,-0.9287547,-3.549967,-1.732925,0.5708725,0.1466809,1.239261,0.9372488,0.3400763,1.066678,0.4204545,0.4834992,0.6217957,0.4298201,0.8924899,0.8790025,0.489281,0.4533833,0.6330716,1.041971,0.5166888,0.8288524,0.8190258,1.509282
4.641606,-1.963486,-1.93638,-1.61602,-1.845484,-2.11403,-0.9534281,-1.741478,-0.5944501,-0.8337749,-1.517062,-2.780866,-1.435466,-2.58919,-1.957187,-1.74332,-1.970707,-1.418252,-0.8931968,-3.589061,-1.7571,0.5647421,0.142355,1.246254,0.9349303,0.3370792,1.063122,0.4241415,0.4964561,0.6292685,0.434062,0.8828517,0.8875666,0.4869313,0.4441418,0.6211278,1.031021,0.5150499,0.8089739,0.8170024,1.506086
4.769605,-2.028675,-1.932425,-1.633317,-1.855415,-2.147924,-0.9725392,-1.793981,-0.6017178,-0.8668402,-1.519563,-2.818729,-1.436911,-2.654681,-2.029503,-1.76809,-2.110162,-1.441554,-0.946472,-3.701843,-1.800464,0.5847289,0.1437556,1.245677,0.9324232,0.3420007,1.059136,0.4124675,0.4940607,0.6368305,0.4268506,0.8800489,0.8706314,0.4834734,0.4365596,0.6199352,1.027469,0.5199499,0.8208988,0.8142427,1.506388
4.897604,-2.07048,-1.94432,-1.693815,-1.902213,-2.227973,-1.046311,-1.903673,-0.6283187,-0.9148233,-1.5408,-2.909527,-1.527595,-2.788826,-2.146519,-1.884113,-2.321228,-1.471379,-0.9911886,-3.841698,-1.859347,0.5885134,0.1476381,1.250386,0.9325709,0.3340937,1.059189,0.4037188,0.4879566,0.6490997,0.4372577,0.8767949,0.8751016,0.4849792,0.4243692,0.6268486,1.026146,0.5157204,0.8257014,0.814149,1.507375
5.025603,-2.105628,-1.994169,-1.779872,-1.984836,-2.334439,-1.145518,-2.026472,-0.6530364,-0.9681354,-1.595092,-3.01757,-1.593949,-2.927451,-2.260516,-1.973148,-2.540856,-1.517444,-1.040879,-3.968253,-1.956913,0.5697874,0.1491175,1.251594,0.9392422,0.3448609,1.061653,0.4030953,0.4754433,0.6445752,0.4331458,0.8818382,0.8572377,0.4825638,0.4117453,0.624392,1.024001,0.5188277,0.8125358,0.8201216,1.508978
5.153603,-2.210733,-2.047562,-1.856442,-2.05712,-2.427169,-1.25392,-2.143005,-0.7077341,-1.060665,-1.627906,-3.128836,-1.698897,-3.073758,-2.385322,-2.056683,-2.742852,-1.558856,-1.092145,-4.098467,-2.041376,0.5715463,0.1491652,1.242922,0.9395728,0.3392342,1.061255,0.3978984,0.4868726,0.6382343,0.4320408,0.8844396,0.8709458,0.4823644,0.4143885,0.6043156,1.018564,0.5166361,0.8220953,0.8317536,1.502437
5.281601,-2.28274,-2.107126,-1.948853,-2.141456,-2.534914,-1.36927,-2.275834,-0.7707532,-1.094564,-1.705828,-3.245424,-1.796482,-3.238039,-2.492068,-2.182388,-2.94253,-1.602863,-1.120509,-4.061068,-2.074817,0.5717737,0.1455655,1.24941,0.9429947,0.3372896,1.059349,0.3985359,0.5001774,0.5947862,0.4415705,0.8901275,0.8620689,0.482952,0.406069,0.6303116,1.015728,0.5131125,0.8115276,0.8343742,1.502998
5.409601,-2.241799,-2.085768,-1.88027,-2.04363,-2.321644,-1.164001,-1.975376,-0.6989579,-0.9261848,-1.625456,-2.959266,-1.566283,-2.767257,-2.05986,-1.862826,-2.130054,-1.473417,-1.001827,-3.581234,-1.798692,0.5582266,0.1526429,1.235434,0.9460922,0.3393713,1.063692,0.4069385,0.4770354,0.6329618,0.4173231,0.8944973,0.872017,0.4949889,0.4368595,0.6128694,1.031661,0.5169833,0.8173119,0.8442912,1.495403
5.5376,-2.046969,-1.98167,-1.647425,-1.847355,-2.127238,-0.943925,-1.702998,-0.6166915,-0.847043,-1.548928,-2.750832,-1.366356,-2.548248,-1.879383,-1.730978,-1.789661,-1.38965,-0.929147,-3.429893,-1.728382,0.578229,0.1469955,1.237645,0.9442473,0.346213,1.063239,0.4122365,0.4876085,0.6574122,0.4346682,0.8938886,0.8793427,0.4984196,0.4539448,0.6095172,1.049857,0.5186742,0.8349183,0.8593374,1.488578
5.665599,-1.997461,-1.924723,-1.604003,-1.80877,-2.126719,-0.9656945,-1.744319,-0.6325953,-0.8311949,-1.552047,-2.7547,-1.417506,-2.508715,-1.910536,-1.806695,-1.950082,-1.374644,-0.9355755,-3.42764,-1.797216,0.5851243,0.1468726,1.244124,0.9383429,0.3304643,1.048214,0.4025248,0.4389614,0.6421624,0.4139454,0.9001426,0.8561166,0.5137243,0.4446444,0.5969386,1.018599,0.5269335,0.8198598,0.8675326,1.470616
5.793598,-2.003425,-1.922025,-1.618206,-1.798556,-2.188975,-1.027393,-1.793909,-0.6374614,-0.8117481,-1.542388,-2.746936,-1.493707,-2.481065,-1.953815,-1.880324,-2.118855,-1.374466,-0.9503193,-3.425886,-1.890292,0.5700923,0.1560187,1.241171,0.9475387,0.3166507,1.033594,0.3913302,0.4705256,0.630368,0.4017634,0.9115281,0.8444259,0.5291287,0.4388303,0.5954495,0.9971175,0.5327334,0.820851,0.8856158,1.46109
5.921597,-2.102662,-2.040506,-1.700873,-1.862226,-2.29147,-1.122644,-1.872136,-0.6342693,-0.8348022,-1.584408,-2.817741,-1.571513,-2.501977,-2.054106,-1.932743,-2.335333,-1.40683,-0.9767533,-3.507301,-1.9852,0.5545948,0.1262124,1.235765,0.9409009,0.3097149,1.020386,0.3952415,0.4839689,0.6382427,0.4017509,0.9307456,0.834937,0.550283,0.4360516,0.5867296,0.9801784,0.5269874,0.8164229,0.8900717,1.457157
